"Product Group","Status","Compliance","Class","Output Power Typ (W)","VCC Max (V)","Output Type","ton Typ (ms)","THD + N Typ (%)","IQ Typ (mA)","ISD Typ (nA)","Package Type","MSL Type","MSL Temp (Â°C)","Pricing ($/Unit)"
"FAB3103UCX","Last Shipments","Pb H ","D","2.3","-","Single","-","0.02","2.7","100","WLCSP-12","1","260","Price N/A"
"NCP2704FCCT1G","Last Shipments","Pb","D","1.4","5.5","Differential","1","0.1","3.6","100","Flip-Chip-20","1","260","Price N/A"
"NCP2809BDMR2G","Last Shipments","Pb H ","AB","0.135","5.5","Multiple Analog","285","0.003","1.5","10","Micro10","1","260","Price N/A"
"NCP2809BMUTXG","Obsolete","Pb H ","AB","0.135","5.5","Multiple Analog","285","0.003","1.5","10","UDFN-10","1","260","Price N/A"
"NCP2809ADMR2G","Obsolete","Pb H ","AB","0.135","5.5","Multiple Analog","285","0.003","1.5","10","Micro10","1","260","Price N/A"
"NCP2811ADTBR2G","Active, Not Rec","Pb H ","AB","0.11","5","Multiple Analog","1","0.01","6","10","TSSOP-14","1","260","$0.4593"
"NCP2811AFCT1G","Last Shipments","Pb H ","AB","0.11","5","Multiple Analog","1","0.01","6","10","Flip-Chip-12","1","260","Price N/A"
"NCP2811BFCCT1G","Lifetime","Pb H ","AB","0.11","5","Multiple Analog","1","0.01","6","10","Flip-Chip-12","1","260","$0.3987"
"NCP2811BDTBR2G","Obsolete","Pb H ","AB","0.11","5","Multiple Analog","1","0.01","6","10","TSSOP-14","1","260","Price N/A"
"NCP2811AMTTXG","Obsolete","Pb H ","AB","0.11","5","Multiple Analog","1","0.01","6","10","WQFN-12","1","260","Price N/A"
"NCP2811BMTTXG","Obsolete","Pb H ","AB","0.11","5","Multiple Analog","1","0.01","6","10","WQFN-12","1","260","Price N/A"
"NCP2811BFCT1G","Obsolete","Pb H ","AB","0.11","5","Multiple Analog","1","0.01","6","10","Flip-Chip-12","1","260","Price N/A"
"NCP2815BFCCT2G","Obsolete","Pb H ","AB","0.03","3.6","Differential","1","0.01","1.6","10","Flip-Chip-12","1","260","Price N/A"
"NCP2815BFCT2G","Obsolete","Pb H ","AB","0.03","3.6","Differential","1","0.01","1.6","10","Flip-Chip-12","1","260","Price N/A"
"NCP2815AFCT2G","Obsolete","Pb H ","AB","0.03","3.6","Differential","1","0.01","1.6","10","Flip-Chip-12","1","260","Price N/A"
"NCP2817BFCCT2G","Lifetime","Pb H ","AB","0.042","5.5","BTL","1","0.02","2.3","1000","Flip-Chip-12","1","260","$0.3239"
"NCV2820MUTBG","Active","Pb A H P ","D","2.19","5.5","Differential","1","0.05","2.2","300","DFN-8","1","260","$0.802"
"NCP2820FCT1G","Last Shipments","Pb H ","D","2.12","5.5","Differential","9","0.05","2.2","300","Flip-Chip-9","1","260","Price N/A"
"NCP2820MUTBG","Last Shipments","Pb H ","D","2.19","5.5","Differential","1","0.05","2.2","300","DFN-8","1","260","Price N/A"
"NCP2820FCT2G","Obsolete","Pb H ","D","2.12","5.5","Differential","9","0.05","2.2","300","Flip-Chip-9","1","260","Price N/A"
"NCP2820AFCT2G","Obsolete","Pb H ","D","2.12","5.5","Differential","1","0.05","2.2","300","Flip-Chip-9","1","260","Price N/A"
"NCP2823AFCT2G","Last Shipments","Pb H ","D","1.5","5.5","BTL","7.4","0.08","1.8","10","Flip-Chip-9","1","260","Price N/A"
"NCP2823BFCT2G","Last Shipments","Pb H ","D","3","5.5","BTL","7.4","0.08","2.6","10","Flip-Chip-9","1","260","Price N/A"
"NCP2823BFCT1G","Last Shipments","Pb H ","D","3","5.5","BTL","7.4","0.08","2.6","10","Flip-Chip-9","1","260","Price N/A"
"NCP2823AFCCT2G","Last Shipments","Pb H ","D","1.5","5.5","BTL","7.4","0.08","1.8","10","Flip-Chip-9","1","260","Price N/A"
"NCP2824FCT2G","Obsolete","Pb H ","D","1.2","5.5","BTL","7.4","0.06","2.2","10","Flip-Chip-9","1","260","Price N/A"
"NCP2890DMR2G","Last Shipments","Pb H ","AB","1","5.5","BTL","285","0.02","1.5","10","Micro8","1","260","Price N/A"
"NCP2890AFCT2G","Obsolete","Pb H ","AB","1","5.5","BTL","285","0.02","1.5","10","Flip-Chip-9","1","260","Price N/A"
"NCP2892AFCT2G","Obsolete","Pb H ","AB","1.3","5.5","BTL","90","0.01","1.5","10","Flip-Chip-9","1","260","Price N/A"
"NCP2892BFCT2G","Obsolete","Pb H ","AB","1.3","5.5","BTL","90","0.01","1.5","10","Flip-Chip-9","1","260","Price N/A"
"NCP2990FCT2G","Obsolete","Pb H ","AB","1.3","5.5","BTL","70","0.01","1.7","10","Flip-Chip-9","1","260","Price N/A"
"NCP2991FCT2G","Obsolete","Pb H ","AB","1.35","5.5","BTL","30","0.015","1.8","20","Flip-Chip-9","1","260","Price N/A"
"NCP2993FCT2G","Obsolete","Pb H ","AB","1.3","5.5","BTL","30","0.015","1.8","20","Flip Chip-9","1","260","Price N/A"
"NCP4894FCT1G","Obsolete","Pb H ","AB","1.8","5.5","Differential","140","0.01","1.9","20","Flip-Chip-9","1","260","Price N/A"
"NCP4894DMR2G","Obsolete","Pb H ","AB","1.8","5.5","Differential","140","0.01","1.9","20","Micro10","1","260","Price N/A"
"NCP4894MNR2G","Obsolete","Pb H ","AB","1.8","5.5","Differential","140","0.01","1.9","20","DFN-10","1","260","Price N/A"
"NCS2211MNTXG","Active","Pb H ","AB","1.5","5.5","BTL","0.001","0.2","20","1000","DFN-8","1","260","$0.3708"
"NCV2211DR2G","Active","Pb A H P ","AB","1.5","5.5","BTL","0.001","0.2","20","1000","SOIC-8","1","260","$0.3043"
"NCS2211DR2G","Active","Pb H ","AB","1.5","5.5","BTL","0.001","0.2","20","1000","SOIC-8","1","260","$0.2955"
"NCS2632DTBR2G","Active","Pb H ","AB","-","5.5","Differential","0.55","0.001","7","-","TSSOP-14","1","260","$0.382"
"NCS8353MNTXG","Obsolete","Pb H ","D","20","26","BTL","450","0.03","33","0.1","QFN-32","1","260","Price N/A"
"NE570DR2G","Last Shipments","Pb H ","-","-","24","-","-","-","-","-","SOIC-16W","3","260","Price N/A"
"NE570D","Obsolete","","-","-","24","-","-","-","-","-","SOIC-16W","1","235","Price N/A"
"NE570DG","Obsolete","Pb H ","-","-","24","-","-","-","-","-","SOIC-16W","3","260","Price N/A"
"NE570DR2","Obsolete","","-","-","24","-","-","-","-","-","SOIC-16W","1","235","Price N/A"
"SA571DR2G","Active","Pb H ","-","-","18","-","-","-","-","-","SOIC-16W","3","260","$0.7168"
"SA571DR2","Obsolete","A P ","-","-","18","-","-","-","-","-","SOIC-16W","1","235","Price N/A"
"SA571DG","Obsolete","Pb H ","-","-","18","-","-","-","-","-","SOIC-16W","3","260","Price N/A"
"SA571NG","Obsolete","Pb A H P ","-","-","18","-","-","-","-","-","PDIP-16","NA","0","Price N/A"
"SA571N","Obsolete","A P ","-","-","18","-","-","-","-","-","PDIP-16","NA","0","Price N/A"
"SA571D","Obsolete","A P ","-","-","18","-","-","-","-","-","SOIC-16W","1","235","Price N/A"
